Full Name,Email,Student Number,Degree
John Martin Joaquin,john.martin@email.com,SN2021001,BSIT
Maria Santos Lopez,maria.santos@email.com,SN2021002,BSA
Carlos Garcia Reyes,carlos.garcia@email.com,SN2021003,BSCpE
Ana Maria Cruz Dela,ana.maria@email.com,SN2021004,BSHM
Miguel Hernandez Diaz,miguel.hernandez@email.com,SN2021005,BSENTREP
Rosa Isabel Rodriguez,rosa.isabel@email.com,SN2021006,BSIT
Juan Carlos Martinez,juan.carlos@email.com,SN2021007,BSEDEN
Patricia Anne Gutierrez,patricia.anne@email.com,SN2021008,BSA
Roberto Luis Fernandez,roberto.luis@email.com,SN2021009,BSCpE
Gabriela Sophia Morales,gabriela.sophia@email.com,SN2021010,BSHM
Fernando Diego Castillo,fernando.diego@email.com,SN2021011,BSIT
Francisca Elena Vargas,francisca.elena@email.com,SN2021012,BSEDMT
Antonio Manuel Chavez,antonio.manuel@email.com,SN2021013,BSENTREP
Dolores Rosa Flores,dolores.rosa@email.com,SN2021014,BSA
Eduardo Miguel Rojas,eduardo.miguel@email.com,SN2021015,BSCpE
Josefina Gloria Medina,josefina.gloria@email.com,SN2021016,BSHM
Francisco Javier Nunez,francisco.javier@email.com,SN2021017,BSIT
Magdalena Luz Soto,magdalena.luz@email.com,SN2021018,BSEDEN
Ventura Raul Herrera,ventura.raul@email.com,SN2021019,BSA
Dolores Maria Carrillo,dolores.maria@email.com,SN2021020,DOMTLOM
